epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,21633.1,0.84808,0.66764,1.08475,0.94415,0.89641,0.94549,0.84178,0.67001,0.37811,0.93219,0.0028,0.0028,0.0028
98,21855.7,0.84609,0.65757,1.08316,0.93668,0.89796,0.94593,0.84304,0.66837,0.37577,0.93148,0.002725,0.002725,0.002725
99,22078.1,0.83971,0.65983,1.07783,0.93653,0.89889,0.94626,0.84403,0.66614,0.37383,0.92996,0.00265,0.00265,0.00265
100,22300.4,0.83725,0.65676,1.0803,0.93729,0.89901,0.94687,0.84488,0.66419,0.37155,0.92902,0.002575,0.002575,0.002575
101,22522.8,0.83123,0.65369,1.08107,0.93736,0.89905,0.9476,0.84568,0.66176,0.36891,0.92809,0.0025,0.0025,0.0025
102,22745.4,0.83502,0.64268,1.07457,0.93785,0.89926,0.94833,0.84595,0.65956,0.36671,0.92691,0.002425,0.002425,0.002425
103,22967.6,0.83214,0.63728,1.07468,0.93736,0.89951,0.94885,0.84703,0.65735,0.36446,0.92573,0.00235,0.00235,0.00235
104,23189.5,0.82858,0.6392,1.07454,0.9419,0.89742,0.94898,0.84868,0.65477,0.36253,0.92453,0.002275,0.002275,0.002275
105,23411.5,0.831,0.63291,1.07705,0.94167,0.89814,0.94918,0.84952,0.65328,0.36039,0.92395,0.0022,0.0022,0.0022
106,23633.5,0.81976,0.62743,1.07222,0.94365,0.89747,0.94915,0.84979,0.65156,0.35837,0.92293,0.002125,0.002125,0.002125
107,23855.9,0.81668,0.62249,1.06791,0.93772,0.90237,0.94928,0.85101,0.65,0.35636,0.92196,0.00205,0.00205,0.00205
108,24078.3,0.81402,0.61825,1.06156,0.93911,0.90226,0.94944,0.85075,0.648,0.35473,0.92062,0.001975,0.001975,0.001975
109,24300.1,0.80307,0.61008,1.0567,0.93889,0.90273,0.94977,0.85113,0.64577,0.35302,0.91947,0.0019,0.0019,0.0019
110,24522,0.81342,0.60964,1.06046,0.93944,0.9036,0.95021,0.85129,0.64411,0.35111,0.91849,0.001825,0.001825,0.001825
111,24743.8,0.74155,0.46144,0.99454,0.94128,0.90376,0.95043,0.85116,0.64246,0.35001,0.91744,0.00175,0.00175,0.00175
112,24964.7,0.72726,0.43716,0.99056,0.94331,0.90339,0.95037,0.85276,0.64073,0.34838,0.91684,0.001675,0.001675,0.001675
113,25185.9,0.72447,0.4361,0.98556,0.94589,0.90279,0.95073,0.85327,0.63879,0.3466,0.91576,0.0016,0.0016,0.0016
114,25407.2,0.7174,0.42731,0.9807,0.94459,0.90516,0.9513,0.85386,0.63683,0.34497,0.91459,0.001525,0.001525,0.001525
115,25628.7,0.71691,0.42322,0.97857,0.94404,0.90615,0.95165,0.85481,0.6349,0.34332,0.91341,0.00145,0.00145,0.00145
116,25850.1,0.70826,0.41323,0.9765,0.94518,0.90588,0.9519,0.8554,0.63294,0.34159,0.9123,0.001375,0.001375,0.001375
117,26071,0.69927,0.40906,0.97078,0.94718,0.90604,0.95198,0.85606,0.63068,0.34015,0.9111,0.0013,0.0013,0.0013
118,26292.4,0.69795,0.40441,0.97033,0.94802,0.90642,0.95195,0.85638,0.62886,0.33853,0.90999,0.001225,0.001225,0.001225
119,26513.7,0.69634,0.40383,0.97032,0.94767,0.90723,0.95222,0.85711,0.62718,0.3373,0.90894,0.00115,0.00115,0.00115
120,26734.7,0.68795,0.39318,0.96426,0.94841,0.90752,0.95262,0.85756,0.62554,0.33598,0.90808,0.001075,0.001075,0.001075
